video_title,channel_uploader,author,publish_date,updated_date,like_count,text_display,url
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@justenjoy117,2024-11-05T15:31:33Z,2024-11-05T15:31:33Z,0,😂😂everywhere indian,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@timothydagsa,2024-11-05T15:21:18Z,2024-11-05T15:21:18Z,0,DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE!,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@timothydagsa,2024-11-05T15:21:08Z,2024-11-05T15:21:08Z,0,DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE! DUTERTE!,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@GobindhoBosu,2024-11-05T15:17:18Z,2024-11-05T15:17:18Z,2,Trump,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@eleanorringor4978,2024-11-05T15:08:15Z,2024-11-05T15:08:15Z,4,Harris,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@aryaan3866,2024-11-05T15:06:33Z,2024-11-05T15:06:33Z,4,Namastev Trump !,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@drMDasifRahman-rc2hu,2024-11-05T15:06:21Z,2024-11-05T15:06:21Z,0,Its Doland trump..modi freiend,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@G85KL73,2024-11-05T15:06:02Z,2024-11-05T15:06:02Z,15,The sad truth is that people are either voting for or against Trump. That should tell you all you need to know.,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@ShakthiT-v6e,2024-11-05T15:04:14Z,2024-11-05T15:04:14Z,0,Both of them are good in person.<br><br>Policy making and attitude of the govt agencies and people should develop to adopt alongside the rest of the world for &quot;peace and cooperation mentality&quot; than &quot;a dominating mentality&quot;.<br><br>So america wish you all a good future..😊😊😊,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@LordBuddha-hd3nx,2024-11-05T15:01:10Z,2024-11-05T15:01:10Z,4,If harris wins it will be the joke of the year🤣,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@fencepost5178,2024-11-05T14:47:10Z,2024-11-05T14:47:10Z,0,"Checking in to see what fake news and gaslighting this worthless network predicts, to help with the FRAUD.",https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@Robloxbloxfruit-13,2024-11-05T14:43:28Z,2024-11-05T14:43:28Z,0,Trump is racist,https://www.youtube.com/watch?v=WKCDwc-GLe4
When Will The U.S. Election Results Be Announced? Your Complete Guide | Trump Vs Harris | N18G,CNBC-TV18,@maddicatxo,2024-11-05T14:42:23Z,2024-11-05T14:42:23Z,18,I really don’t believe it’s as close as they’re saying it is… TRUMP 2024,https://www.youtube.com/watch?v=WKCDwc-GLe4
